time,container_mem_mib,container_limit_mib,cpu,heap_used_mib,heap_max_mib
2026-09-26T16:35:00,1248.3,1536.0,23.20%,199.2,512.0
2026-09-26T16:35:02,1249.3,1536.0,20.76%,303.2,512.0
2026-09-26T16:35:04,1248.3,1536.0,22.38%,110.8,512.0
2026-09-26T16:35:07,1248.3,1536.0,25.32%,246.8,512.0
2026-09-26T16:35:10,1249.3,1536.0,35.87%,346.8,512.0
2026-09-26T16:35:12,1249.3,1536.0,33.76%,154.9,512.0
2026-09-26T16:35:14,1249.3,1536.0,20.17%,258.9,512.0
2026-09-26T16:35:17,1248.3,1536.0,20.67%,394.9,512.0
2026-09-26T16:35:19,1249.3,1536.0,22.51%,202.9,512.0
2026-09-26T16:35:21,1256.4,1536.0,42.18%,302.9,512.0
2026-09-26T16:35:22,MARK,k6 es search warm1 end,,,
2026-09-26T16:35:23,MARK,k6 es search warm2 start,,,
2026-09-26T16:35:23,1256.4,1536.0,20.10%,370.9,512.0
2026-09-26T16:35:26,1251.3,1536.0,48.80%,217.8,512.0
2026-09-26T16:35:29,1250.3,1536.0,25.60%,313.8,512.0
2026-09-26T16:35:31,1251.3,1536.0,69.36%,125.9,512.0
2026-09-26T16:35:33,1250.3,1536.0,35.33%,221.9,512.0
2026-09-26T16:35:36,1252.4,1536.0,30.62%,361.9,512.0
2026-09-26T16:35:38,1261.6,1536.0,19.93%,170.2,512.0
2026-09-26T16:35:40,1260.5,1536.0,16.34%,270.2,512.0
2026-09-26T16:35:43,1260.5,1536.0,19.50%,370.2,512.0
2026-09-26T16:35:46,1260.5,1536.0,15.91%,218.2,512.0
2026-09-26T16:35:48,1260.5,1536.0,13.88%,318.2,512.0
2026-09-26T16:35:50,1260.5,1536.0,16.39%,126.1,512.0
2026-09-26T16:35:52,1260.5,1536.0,16.45%,222.1,512.0
2026-09-26T16:35:53,MARK,k6 es search warm2 end,,,
2026-09-26T16:35:53,MARK,k6 es search warm3 start,,,
2026-09-26T16:35:54,1261.6,1536.0,13.67%,286.1,512.0
2026-09-26T16:35:57,1260.5,1536.0,32.35%,130.1,512.0
2026-09-26T16:36:00,1260.5,1536.0,15.26%,226.1,512.0
2026-09-26T16:36:02,1260.5,1536.0,14.74%,326.1,512.0
2026-09-26T16:36:04,1260.5,1536.0,16.26%,129.9,512.0
2026-09-26T16:36:07,1260.5,1536.0,24.19%,273.9,512.0
2026-09-26T16:36:09,1261.6,1536.0,14.90%,369.9,512.0
2026-09-26T16:36:11,1260.5,1536.0,14.32%,174.0,512.0
2026-09-26T16:36:14,1261.6,1536.0,16.06%,274.0,512.0
2026-09-26T16:36:17,1260.5,1536.0,14.85%,121.9,512.0
2026-09-26T16:36:19,1260.5,1536.0,14.59%,217.9,512.0
2026-09-26T16:36:21,1260.5,1536.0,15.04%,317.9,512.0
2026-09-26T16:36:23,1253.4,1536.0,32.24%,125.9,512.0
2026-09-26T16:36:24,MARK,k6 es search warm3 end,,,
2026-09-26T16:36:24,MARK,k6 es search saturation start,,,
2026-09-26T16:36:26,1253.4,1536.0,169.70%,194.0,512.0
2026-09-26T16:36:28,1253.4,1536.0,166.70%,341.9,512.0
2026-09-26T16:36:31,1254.4,1536.0,191.94%,181.9,512.0
2026-09-26T16:36:33,1256.4,1536.0,155.36%,358.2,512.0
2026-09-26T16:36:36,1256.4,1536.0,167.54%,250.1,512.0
2026-09-26T16:36:38,1256.4,1536.0,143.84%,122.1,512.0
2026-09-26T16:36:40,1257.5,1536.0,166.13%,294.2,512.0
2026-09-26T16:36:43,1257.5,1536.0,164.15%,106.0,512.0
2026-09-26T16:36:46,1257.5,1536.0,157.31%,110.1,512.0
2026-09-26T16:36:48,1257.5,1536.0,137.73%,118.0,512.0
2026-09-26T16:36:50,1257.5,1536.0,158.17%,122.1,512.0
2026-09-26T16:36:52,1257.5,1536.0,139.47%,146.0,512.0
2026-09-26T16:36:54,1257.5,1536.0,133.27%,298.0,512.0
2026-09-26T16:36:55,MARK,k6 es search saturation end,,,
2026-09-26T16:36:55,MARK,k6 es nosearch cold start,,,
2026-09-26T16:36:57,1257.5,1536.0,0.50%,298.0,512.0
2026-09-26T16:37:00,1257.5,1536.0,0.51%,298.0,512.0
2026-09-26T16:37:02,1257.5,1536.0,0.54%,298.0,512.0
2026-09-26T16:37:04,1257.5,1536.0,0.45%,298.0,512.0
2026-09-26T16:37:07,1257.5,1536.0,9.14%,298.0,512.0
2026-09-26T16:37:09,1257.5,1536.0,0.46%,302.0,512.0
2026-09-26T16:37:11,1257.5,1536.0,0.43%,302.0,512.0
